                  id                  |            name             
 5cf7e997-1e09-4749-9bbf-fea316f75ccf | Fairfield
 638d3151-fa46-480e-9b76-e1cebba01a2d | Fairleigh Dickinson
 f6f698e7-24cd-45f1-9810-981d5a078e3f | Florida
 3e61c40f-f55b-4c56-b8df-cedd73acb556 | Florida A&M
 06249d34-3807-40d4-8ac6-7d291da44835 | Florida Atlantic
 d43e491b-72fb-4ccd-9a3d-455d2cf36296 | Florida Gulf Coast
 8a1503ce-3b3c-49a7-892b-b0a59f25e6d0 | Florida International
 5dfd1adf-65cd-474b-a067-ffc0d3d37707 | Florida State
 942cb94c-25e7-4343-8d4f-21abb455c90e | Fordham
 c3974a10-2777-4728-a7c0-c38747a5e42d | Furman
 fdcd84a4-ed0a-4913-84c1-3910a9e10865 | Gardner-Webb
 1cef3a8d-448f-41ba-bfba-2aa8d82dc44a | George Mason
 67d1efe9-d2a0-409d-91e9-12fcf35ee65b | George Washington
 b88f4179-b1c2-4ff5-b179-a85c3e7c1dd3 | Georgetown
 912a0e3b-badd-4adf-b7d5-453f443e73b5 | Georgia
 004e6698-4b17-419f-a811-b7ecd1091c1e | Georgia Southern
 4c018987-7725-4651-8c36-10fdbe5d6853 | Georgia State
 24ec2ba3-7167-4223-a24a-6588ed017012 | Georgia Tech
 99a7c8df-4b67-4626-9ec4-74a0863a03e2 | Gonzaga
 dba6b988-c752-4541-8b4c-be2913b96f2f | Grambling State
 f4cba220-a7a9-4ea2-808e-2ab38ec72426 | Grand Canyon
 e5ebb14c-be0c-4ecc-a7df-2f7fadb2a191 | Green Bay
 d799cae4-84aa-4c5b-b99d-b9ae4c6ad5b6 | Hampton
 7cab7a31-f1b4-47e7-ba58-a5b142de588b | Hartford
 3e68513a-ea8f-4346-8927-d10b071de91c | Harvard
 2c4fe82c-bcf4-4f54-abd6-de33bd70a207 | Hawaii
 8d4dc92a-7cad-4ae0-ab23-258b73be6f9c | High Point
 fb37f68d-f79b-4882-acc4-3542f3bcbe41 | Hofstra
 c0cb7a94-70a9-4834-9678-10d691fbc115 | Holy Cross
 9d5aeba2-2a11-470c-a03c-311fbdcd9a09 | Houston
 f36112dc-51bb-40bb-8b6d-4fe9bcf687cb | Houston Christian
 8ae8d35e-e166-46e0-93cd-1c28b86565fe | Howard
 32bd79f5-8cd2-4edc-b217-895f6cd869b8 | Idaho
 ef0ad172-f477-4def-b4ad-59c8d1cf87c8 | Idaho State
 5553a8f0-f80f-42a9-a7d4-7a92416068fa | Illinois
 4474bbf1-3f07-4b84-8869-d10ed0471ebd | Illinois Chicago
 9d7bfd80-0938-41dd-b6b7-aa9152fcb0e9 | Illinois State
 9fc87aaa-9dd4-4748-a9bb-de1fb3df0c61 | Indiana
 27f81e70-66d2-4c82-b166-ae27a3ae1571 | Indiana State
 22d8e6a6-c61b-4024-b700-1cd66a05ab94 | Iona
 94485a4e-ab3a-44a9-8e39-d51943242759 | Iowa
 c4e7b758-762f-439c-9e8e-a75e5612cc2d | Iowa State
 1929272d-1916-4819-bfa8-ac7a527fcae0 | Jackson State
 5a80d695-3bcc-44c6-addf-32336cec7efb | Jacksonville
 44ab3ad2-e48c-45f2-a745-941d3bb9c90c | Jacksonville State
 fd747384-6924-4522-91b1-e93429343c43 | James Madison
 82c54498-598e-46a2-8095-fc6cd212d4e7 | Kansas
 5130675b-5d75-4279-9ce3-aad1bd94da5c | Kansas City
 e3a3f3f2-7dca-4917-a9f9-c4c2451d3c64 | Kansas State
 10808f83-52eb-47ec-8a5e-c455826218dc | Kennesaw State
 771ee70f-8583-4881-a14a-4e924ae6385d | Kent State
 38563487-8b4d-4097-b301-9bb1fc30f771 | Kentucky
 a0934d38-fe71-4f49-bc76-b4ec8ae7471d | La Salle
 880d6f45-bf4c-42d1-8709-ca8e11a4d277 | Lafayette
 28335287-2c6d-429f-8cee-4ceb5f810f50 | Lamar
 8cc29223-4d31-450d-8c6e-a6df36d852c2 | Lehigh
 685ae227-992c-4095-895f-606cb1b9cae1 | Liberty
 b8317cf1-8852-4f07-a4d6-c499a3723fbd | Lipscomb
 81d48f15-d3ab-43ef-a71d-9fcbdef739f3 | Long Beach State
 df370ef5-6b6e-4641-8031-0125e5105f92 | Long Island
 75b0d28d-fa0c-42f6-a4b1-405471cfb71a | Longwood
 5f859cb4-74c5-4d78-ac6a-2a7014bd56fa | Louisiana
 e6b736b0-2c0f-4381-969a-bef5b4ab7af4 | Louisiana Monroe
 0d3202e6-2dee-4ef9-a248-7aa1e79ab2a0 | Louisiana State
 0163c3f7-fdaa-4cf3-a222-69563c9fcfba | Louisiana Tech
 d836fa59-aadb-4466-9797-b35c5b9a12ff | Louisville
 2cf52a21-57de-4c7f-942c-430163ea1c3e | Loyola Chicago
 e8afeb50-d0bb-4ed5-803c-88570b512458 | Loyola Maryland
 ece7a421-755d-4d5b-85e2-eef70031bd73 | Loyola New Orleans
 98e79a32-c0d7-4528-a1d0-5b0ee70bc05e | Maine
 59ad491f-1029-4231-8073-0e0b67c48db2 | Manhattan
 f001954c-b26f-4392-a78e-01d39a0482d6 | Marist
 4efbe54e-ab08-46e4-9589-90ad5ad9246d | Marquette
 a5722101-71f3-47ef-87f2-94a25014f6e2 | Marshall
 59dff9f3-bbc0-44e5-91ab-624abdd395e1 | Maryland
 2cad64b5-1b44-48d3-8d07-34e2ba28f916 | Maryland Eastern Shore
 b705cc16-d5c9-472f-89e3-76f2d42948e2 | Massachusetts
 1fb59ed8-5a0c-4546-80a4-d596ac116f30 | McNeese
 6b71a538-58d0-4ba1-a627-03bb34c948fd | Memphis
 7acda8de-c229-4573-9d91-43ddfd170f0c | Mercer
 049260b4-f289-449b-9291-00579af2a9e3 | Merrimack
 79d33da6-9247-4317-b47c-a0e9be3d62c9 | Miami
 50bf8458-a544-4258-8b93-7bbb52a90abf | Miami (OH)
 7cce1b4a-db47-4226-ad92-e78ed3f8323d | Michigan
 a59ca1a2-bdb0-441a-80c9-32c042dc902b | Michigan State
 d69d4466-3ad2-4b9c-b105-e3ae2731c0c7 | Middle Tennessee State
 1217f260-30af-45d0-96c7-290988c9c72c | Minnesota
 1359bfe0-2534-436e-83dc-57d3e63c9363 | Mississippi
 ea13d4a5-798d-4ba0-a0d8-e1a2d58dd1b6 | Mississippi State
 1b3f345f-3737-472b-9174-0e6bb878b363 | Mississippi Valley State
 95289513-5388-4b88-9116-91d2f14fa652 | Missouri
 a2b57ebc-b0bf-4d6a-a0b6-302a13157a95 | Missouri State
 49268990-3131-4055-a1bd-dd2f7eb76cbf | Monmouth
 11e5fadd-0c96-4064-b175-9e0ca825c958 | Montana
 222e1781-4c30-475d-a459-4d961491c50d | Montana State
 8f6b2cf9-4fe5-4edd-9d06-b249b07f9008 | Morehead State
 2acd6d2e-13de-4c05-b77a-5216276eb0ae | Morgan State
 12939bd9-1024-4830-a929-8e2f22ac6234 | Mount St. Mary's
 63d25cc2-b291-43ba-80a1-a297d242eb8c | Murray State
 5f64adc0-fe32-4090-9e3c-574299d1026b | NJIT
 d0e2b2c2-06cc-4acf-b231-99527e0478e2 | Navy
 cd007980-f123-4083-b453-04d7ca0e1960 | Nebraska
 65e43659-2b74-4917-a41c-ef1325a9b684 | Nebraska Omaha
 e671bf26-1489-4936-8d4c-f925cb62a6c2 | Nevada
 1e2e58c1-0c47-4b00-8ddd-4ea71b0a6792 | New Hampshire
 b89fac5f-830b-4826-aa66-aac32e8ad0f7 | New Mexico
 8c043cc7-6562-4fbf-bf9d-4ea16db1a22f | New Mexico State
 8ca04e56-dadc-423b-af7c-3300c4f9ec66 | New Orleans
 3033b098-1ba8-43b3-a8fe-f554c2eed41e | Niagara
 5840f1c4-9df0-485e-af30-02e07b1531fe | Nicholls State
 093bce66-1be7-4d62-890c-8ec4eee9cf27 | Norfolk State
 3ed7a887-6c1a-4ee2-92ab-2342b40752e0 | North Alabama
 48e8fda1-64d6-4bac-a183-074dc53788ed | North Carolina
