Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Virginia 1,ACC,32.15,116.5,84.4,59.1
2,Villanova 1,BE,31.40,127.4,96.0,68.2
3,Duke 2,ACC,29.12,122.6,93.5,70.0
4,Cincinnati 2,Amer,27.00,113.1,86.1,64.6
5,Purdue 2,B10,26.66,123.2,96.6,67.2
6,Michigan St. 3,B10,26.34,120.0,93.6,67.1
7,North Carolina 2,ACC,25.03,121.9,96.9,70.9
8,Gonzaga 4,WCC,24.81,119.8,95.0,68.9
9,Kansas 1,B12,23.24,120.9,97.7,68.4
10,Michigan 3,B10,23.19,115.9,92.7,64.3
11,Tennessee 3,SEC,22.15,114.8,92.7,66.1
12,Texas Tech 3,B12,21.95,114.0,92.1,66.5
13,West Virginia 5,B12,21.77,119.1,97.4,69.0
14,Xavier 1,BE,21.68,120.7,99.0,70.4
15,Ohio St. 5,B10,21.10,116.1,95.0,66.3
16,Auburn 4,SEC,20.63,118.2,97.5,72.2
17,Houston 6,Amer,20.54,115.8,95.2,68.2
18,Kentucky 5,SEC,20.39,116.4,96.0,68.5
19,Clemson 5,ACC,20.26,113.8,93.5,65.6
20,Wichita St. 4,Amer,20.07,121.9,101.8,68.6
21,Arizona 4,P12,19.37,119.0,99.6,67.3
22,TCU 6,B12,18.92,120.6,101.7,68.7
23,Florida 6,SEC,18.71,115.1,96.4,66.7
24,Nevada 7,MWC,18.20,119.9,101.7,69.4
25,Butler 10,BE,17.86,115.7,97.9,67.8
26,Seton Hall 8,BE,17.33,116.3,99.0,69.3
27,Creighton 8,BE,17.28,116.4,99.2,70.8
28,Saint Mary's 1,WCC,17.23,119.8,102.6,63.7
29,Penn St. 4,B10,17.09,113.0,95.9,67.5
30,Texas A&M 7,SEC,16.91,111.2,94.3,69.0
31,Notre Dame 1,ACC,16.81,116.1,99.3,65.0
32,Virginia Tech 8,ACC,16.63,115.0,98.4,68.6
33,Louisville 2,ACC,16.58,113.1,96.5,69.6
34,Baylor 1,B12,16.17,111.2,95.0,66.4
35,Florida St. 9,ACC,15.82,115.8,100.0,71.6
36,Miami FL 6,ACC,15.70,113.3,97.6,67.0
37,Arkansas 7,SEC,15.63,117.3,101.7,69.6
38,Missouri 8,SEC,15.47,113.3,97.8,65.6
39,Texas 10,B12,15.46,109.4,93.9,65.2
40,USC 1,P12,15.30,115.4,100.1,67.4
41,N.C. State 9,ACC,15.12,116.4,101.3,71.3
42,Loyola Chicago 11,MVC,15.09,111.3,96.2,65.3
43,Davidson 12,A10,14.90,117.4,102.5,64.1
44,Kansas St. 9,B12,14.75,112.2,97.4,65.5
45,Arizona St. 11,P12,14.73,117.6,102.9,71.5
46,Maryland,B10,14.65,114.1,99.4,66.2
47,Oklahoma 10,B12,14.42,115.1,100.7,75.8
48,UCLA 11,P12,14.39,116.4,102.0,70.5
49,Rhode Island 7,A10,14.38,111.7,97.3,68.6
50,San Diego St. 11,MWC,14.17,111.3,97.1,68.6
51,Alabama 9,SEC,13.83,108.4,94.6,68.7
52,Middle Tennessee 3,CUSA,13.78,110.4,96.6,66.3
53,Marquette 2,BE,13.73,119.3,105.6,69.0
54,Syracuse 11,ACC,13.59,107.7,94.1,63.3
55,New Mexico St. 12,WAC,13.59,108.4,94.8,68.2
56,Oklahoma St. 2,B12,13.48,112.1,98.6,68.4
57,Nebraska 5,B10,13.42,110.9,97.5,67.5
58,Boise St. 4,MWC,13.14,110.6,97.5,68.3
59,Murray St. 12,OVC,12.69,113.1,100.4,67.2
60,Western Kentucky 4,CUSA,12.55,113.6,101.1,68.7
61,LSU 3,SEC,12.47,115.6,103.1,68.2
62,Mississippi St. 4,SEC,12.35,109.6,97.2,67.6
63,Georgia,SEC,11.91,107.8,95.8,64.3
64,Providence 10,BE,11.91,108.9,97.0,67.0
65,Utah 2,P12,11.89,111.9,100.0,65.6
66,Louisiana Lafayette 6,SB,11.39,113.5,102.1,70.2
67,Old Dominion,CUSA,11.32,108.7,97.4,64.4
68,South Dakota,Sum,11.25,110.0,98.8,70.3
69,St. Bonaventure 11,A10,11.19,112.3,101.1,69.2
70,BYU 6,WCC,11.05,109.0,98.0,67.3
71,Montana 14,BSky,10.84,110.1,99.3,67.9
72,Boston College 5,ACC,10.70,113.8,103.1,70.1
73,Vermont 6,AE,10.68,114.0,103.4,63.7
74,Wisconsin,B10,10.60,110.0,99.4,62.6
75,Oregon 3,P12,10.58,110.9,100.3,66.7
76,Buffalo 13,MAC,10.57,114.3,103.7,72.8
77,South Dakota St. 12,Sum,10.48,114.5,104.0,70.2
78,Indiana,B10,10.37,109.7,99.3,66.5
79,Fresno St.,MWC,10.21,110.1,99.9,66.5
80,St. John's,BE,10.08,106.7,96.6,69.2
81,South Carolina,SEC,9.99,105.8,95.8,68.6
82,UNC Greensboro 13,SC,9.06,105.7,96.6,64.9
83,Belmont,OVC,9.02,113.0,104.0,66.9
84,Stanford 3,P12,8.81,108.5,99.7,70.3
85,SMU,Amer,8.78,109.9,101.1,64.2
86,Temple 5,Amer,8.29,109.0,100.8,67.5
87,Northwestern,B10,8.26,109.2,101.0,63.8
88,Vanderbilt,SEC,8.08,115.6,107.5,65.7
89,Wake Forest,ACC,8.00,111.1,103.1,69.3
90,Utah Valley,WAC,7.95,111.0,103.1,67.6
91,Iowa,B10,7.91,116.7,108.8,70.3
92,East Tennessee St.,SC,7.51,105.5,98.0,67.5
93,Furman,SC,7.42,109.3,101.9,68.5
94,Oregon St.,P12,7.39,108.8,101.4,65.5
95,Northern Kentucky 7,Horz,7.29,108.2,100.9,68.5
96,Georgia St. 15,SB,7.22,109.0,101.8,66.8
97,Northeastern,CAA,7.17,107.9,100.7,66.9
98,Washington 5,P12,7.02,106.3,99.2,69.4
99,Georgetown,BE,6.93,109.8,102.9,70.4
100,Bucknell 14,Pat,6.79,109.2,102.4,71.4
101,DePaul,BE,6.73,104.7,98.0,69.8
102,New Mexico,MWC,6.66,113.7,107.0,71.2
103,Illinois,B10,6.58,109.8,103.3,69.8
104,Iowa St.,B12,6.56,110.1,103.6,68.9
105,UNLV,MWC,6.53,111.7,105.2,72.3
106,Mississippi,SEC,6.53,111.5,104.9,70.0
107,Tulsa,Amer,6.17,108.6,102.4,67.2
108,Northern Colorado,BSky,6.14,107.4,101.3,71.2
109,UCF,Amer,5.80,99.2,93.4,64.3
110,Colorado,P12,5.68,105.4,99.7,67.7
111,Stephen F. Austin 14,Slnd,5.62,105.0,99.4,71.1
112,Grand Canyon,WAC,5.52,102.4,96.9,69.0
113,UAB,CUSA,5.48,109.5,104.0,67.6
