Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Duke 1,ACC,38.15,128.0,89.8,65.7
2,Florida 1,SEC,36.16,128.6,92.4,69.6
3,Houston 1,B12,35.44,123.2,87.8,61.4
4,Auburn 1,SEC,35.05,128.4,93.4,67.6
5,Tennessee 2,SEC,31.15,120.3,89.1,63.6
6,Alabama 2,SEC,29.93,126.5,96.6,74.9
7,Texas Tech 3,B12,28.05,125.3,97.2,65.4
8,Michigan St. 2,B10,27.57,118.1,90.6,67.7
9,Gonzaga 8,WCC,27.29,123.6,96.3,70.2
10,Iowa St. 3,B12,27.00,119.4,92.4,68.6
11,St. John's 2,BE,26.38,113.9,87.5,70.1
12,Maryland 4,B10,26.35,118.1,91.8,69.8
13,Wisconsin 3,B10,25.98,122.0,96.0,67.6
14,Arizona 4,B12,25.73,122.5,96.8,69.9
15,Missouri 6,SEC,24.42,125.3,100.9,68.2
16,Kentucky 3,SEC,24.26,123.8,99.5,70.9
17,Texas A&M 4,SEC,24.08,116.2,92.1,66.1
18,Clemson 5,ACC,23.92,118.7,94.7,64.2
19,Purdue 4,B10,23.84,124.2,100.4,65.0
20,Illinois 6,B10,23.56,121.6,98.1,71.3
21,Kansas 7,B12,23.26,116.0,92.7,68.4
22,Saint Mary's 7,WCC,23.09,115.3,92.2,61.7
23,Louisville 8,ACC,22.64,118.1,95.5,68.7
24,BYU 6,B12,22.39,123.0,100.6,67.2
25,Michigan 5,B10,22.28,116.0,93.7,69.4
26,Mississippi 6,SEC,22.09,117.8,95.8,68.0
27,UCLA 7,B10,21.76,116.8,95.1,64.9
28,Marquette 7,BE,21.58,117.7,96.1,67.6
29,Baylor 9,B12,21.15,120.8,99.7,64.5
30,VCU 11,A10,20.61,116.3,95.7,66.1
31,Oregon 5,B10,20.15,116.6,96.5,67.6
32,Mississippi St. 8,SEC,20.11,118.7,98.6,68.1
33,North Carolina 11,ACC,19.55,118.9,99.3,70.4
34,Georgia 9,SEC,19.39,115.4,96.0,66.4
35,Connecticut 8,BE,19.34,121.9,102.6,63.7
36,UC San Diego 12,BW,18.78,115.2,96.5,65.7
37,Creighton 9,BE,18.71,116.9,98.2,67.0
38,Oklahoma 9,SEC,18.36,119.0,100.7,68.5
39,Ohio St.,B10,18.30,117.6,99.3,67.0
40,Arkansas 10,SEC,17.71,112.9,95.2,69.3
41,New Mexico 10,MWC,17.32,112.5,95.2,72.7
42,Colorado St. 12,MWC,17.29,116.2,98.9,66.0
43,Xavier 11,BE,17.20,115.5,98.3,69.1
44,Texas 11,SEC,17.15,116.7,99.5,67.4
45,Northwestern,B10,16.42,113.9,97.5,64.9
46,San Diego St. 11,MWC,16.37,109.8,93.5,66.0
47,SMU,ACC,16.19,116.6,100.4,68.4
48,Indiana,B10,16.18,113.6,97.4,67.9
49,Vanderbilt 10,SEC,16.16,117.9,101.8,69.4
50,Boise St.,MWC,15.92,116.0,100.0,65.2
51,Memphis 5,Amer,15.35,113.1,97.8,70.8
52,Utah St. 10,MWC,15.22,120.7,105.5,67.5
53,West Virginia,B12,15.10,109.0,93.9,64.2
54,Nebraska,B10,14.84,113.2,98.4,67.3
55,Cincinnati,B12,14.81,110.5,95.7,65.4
56,Villanova,BE,14.25,118.2,104.0,63.0
57,Santa Clara,WCC,14.14,115.8,101.7,68.8
58,Drake 11,MVC,14.14,112.6,98.5,58.8
59,McNeese 12,Slnd,13.69,114.3,100.6,65.3
60,Penn St.,B10,13.65,114.7,101.0,69.8
61,Pittsburgh,ACC,13.63,115.7,102.1,66.2
62,Liberty 12,CUSA,13.53,112.5,98.9,65.3
63,USC,B10,12.96,116.6,103.7,68.2
64,Iowa,B10,12.81,119.6,106.8,69.5
65,San Francisco,WCC,12.68,111.7,99.0,67.7
66,UC Irvine,BW,12.37,107.5,95.1,68.7
67,Kansas St.,B12,12.21,109.4,97.1,67.0
68,UCF,B12,11.59,115.4,103.8,71.9
69,South Carolina,SEC,11.48,110.4,98.9,65.3
70,Arizona St.,B12,11.24,112.5,101.3,68.4
71,Wake Forest,ACC,11.22,108.2,97.0,67.1
72,North Texas,Amer,11.12,109.3,98.2,60.4
73,Yale 13,Ivy,11.04,115.1,104.0,67.2
74,Dayton,A10,10.99,115.6,104.6,65.9
75,Rutgers,B10,10.74,115.1,104.3,68.6
76,Utah,B12,10.61,112.4,101.8,68.7
77,Butler,BE,10.57,116.1,105.6,67.4
78,George Mason,A10,10.30,106.0,95.6,64.5
79,Saint Joseph's,A10,10.10,110.9,100.8,67.9
80,Nevada,MWC,9.93,112.8,102.8,63.8
81,Colorado,B12,9.53,108.8,99.3,67.6
82,Stanford,ACC,9.51,112.1,102.6,66.0
83,Lipscomb 14,ASun,9.49,112.7,103.2,65.9
84,High Point 13,BSth,9.30,118.5,109.1,66.4
85,Oregon St.,WCC,9.29,116.2,106.9,63.7
86,TCU,B12,8.85,105.8,97.0,66.5
