Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Houston 1,Amer,28.82,118.4,89.6,63.3
2,UCLA 2,P12,27.63,114.9,87.2,66.3
3,Alabama 1,SEC,27.54,116.1,88.6,72.7
4,Connecticut 4,BE,25.37,119.4,94.1,66.7
5,Tennessee 4,SEC,24.71,112.7,88.0,65.5
6,Texas 2,B12,24.57,116.6,92.0,69.1
7,Purdue 1,B10,24.55,119.4,94.8,64.4
8,Gonzaga 3,WCC,24.31,124.0,99.7,70.1
9,Kansas 1,B12,23.14,114.6,91.5,69.3
10,Arizona 2,P12,22.86,120.0,97.1,72.3
11,Saint Mary's 5,WCC,21.90,113.5,91.6,61.7
12,Marquette 2,BE,21.83,119.3,97.5,68.4
13,Creighton 6,BE,20.65,114.6,94.0,68.0
14,San Diego St. 5,MWC,20.25,111.9,91.7,66.0
15,Baylor 3,B12,19.98,121.9,101.9,66.6
16,Xavier 3,BE,19.69,119.3,99.6,70.4
17,West Virginia 9,B12,19.14,117.1,98.0,68.9
18,Utah St. 10,MWC,18.88,117.8,98.9,68.8
19,Memphis 8,Amer,18.69,114.7,96.0,71.8
20,Arkansas 8,SEC,18.63,112.6,94.0,69.7
21,Duke 5,ACC,18.49,113.2,94.8,65.3
22,Maryland 8,B10,18.37,114.1,95.8,64.6
23,Iowa St. 6,B12,18.33,109.9,91.5,64.3
24,Kansas St. 3,B12,18.31,112.5,94.2,70.2
25,Texas A&M 7,SEC,18.28,114.5,96.2,66.2
26,Florida Atlantic 9,CUSA,18.23,114.3,96.0,68.4
27,TCU 6,B12,18.06,112.4,94.3,69.8
28,Kentucky 6,SEC,17.80,117.4,99.6,66.0
29,Auburn 9,SEC,17.45,112.7,95.2,67.6
30,Indiana 4,B10,17.36,114.7,97.3,68.1
31,Boise St. 10,MWC,17.13,111.0,93.8,66.5
32,Michigan St. 7,B10,16.71,113.4,96.7,64.9
33,Illinois 9,B10,16.48,112.2,95.7,69.4
34,Virginia 4,ACC,16.41,111.2,94.8,61.6
35,Rutgers,B10,15.77,105.8,90.1,65.9
36,USC 10,P12,15.63,113.1,97.5,68.1
