Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Virginia 1,ACC,35.66,123.6,87.9,59.2
2,Gonzaga 1,WCC,32.79,125.1,92.3,69.7
3,Duke 1,ACC,31.99,120.1,88.1,72.2
4,Michigan St. 2,B10,31.36,121.7,90.4,67.4
5,Michigan 2,B10,29.44,115.5,86.1,64.4
6,North Carolina 1,ACC,29.17,119.9,90.7,74.3
7,Kentucky 2,SEC,27.42,118.2,90.8,65.8
8,Tennessee 2,SEC,26.98,122.5,95.5,67.7
9,Texas Tech 3,B12,26.75,112.7,86.0,66.5
10,Purdue 3,B10,26.05,121.1,95.0,65.6
11,Virginia Tech 4,ACC,24.47,118.4,94.0,63.2
12,Wisconsin 5,B10,23.68,110.8,87.1,63.6
13,Auburn 5,SEC,23.33,119.6,96.2,67.5
14,Florida St. 4,ACC,22.56,113.0,90.4,68.2
15,Houston 3,Amer,22.43,114.1,91.7,66.1
16,Iowa St. 6,B12,21.85,119.0,97.2,67.6
17,Louisville 7,ACC,20.97,113.4,92.4,67.1
18,LSU 3,SEC,20.97,118.5,97.5,69.8
19,Wofford 7,SC,20.72,118.4,97.6,65.6
20,Kansas 4,B12,20.71,112.8,92.0,69.9
21,Mississippi St. 5,SEC,20.68,117.4,96.7,67.4
22,Buffalo 6,MAC,20.33,114.9,94.6,73.7
23,Kansas St. 4,B12,20.22,108.0,87.7,63.0
24,Maryland 6,B10,19.98,113.8,93.8,65.6
25,Nevada 7,MWC,18.92,114.0,95.1,69.2
26,Villanova 6,BE,18.77,117.0,98.2,63.6
27,Marquette 5,BE,18.42,114.2,95.7,68.6
28,Florida 10,SEC,18.33,110.2,91.9,62.7
29,Clemson 2,ACC,17.94,108.7,90.7,65.9
30,Texas 2,B12,17.89,114.1,96.2,64.2
31,Saint Mary's 11,WCC,17.71,114.6,96.9,62.6
32,Cincinnati 7,Amer,17.05,111.6,94.5,63.2
33,N.C. State 2,ACC,16.70,112.7,96.0,70.7
34,Utah St. 8,MWC,16.62,113.0,96.4,67.8
