Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Gonzaga 1,WCC,32.97,121.8,88.8,72.5
2,Arizona 1,P12,27.21,119.6,92.4,72.2
3,Kentucky 2,SEC,26.59,120.2,93.6,67.3
4,Houston 5,Amer,26.50,117.3,90.9,63.8
5,Baylor 1,B12,26.32,117.9,91.6,67.2
6,Kansas 1,B12,25.49,119.4,93.9,69.1
7,Tennessee 3,SEC,25.24,111.4,86.2,67.2
8,UCLA 4,P12,24.85,116.1,91.2,65.5
9,Texas Tech 3,B12,24.64,109.7,85.1,66.5
10,Auburn 2,SEC,24.45,113.6,89.1,70.0
11,Villanova 2,BE,24.11,118.0,93.8,62.5
12,Duke 2,ACC,23.71,119.4,95.7,67.4
13,Iowa 5,B10,23.53,121.5,98.0,69.6
14,Purdue 3,B10,22.29,121.3,99.0,65.8
15,Texas 6,B12,20.41,111.8,91.4,63.1
16,Saint Mary's 5,WCC,19.81,109.8,90.0,63.5
17,Illinois 4,B10,19.59,113.7,94.1,67.1
18,Connecticut 5,BE,19.33,113.9,94.6,64.9
19,LSU 6,SEC,19.08,107.6,88.6,68.6
20,Arkansas 4,SEC,19.02,111.1,92.1,70.6
21,San Francisco 10,WCC,18.37,110.8,92.4,68.7
22,San Diego St. 8,MWC,18.15,104.1,86.0,65.3
23,Virginia Tech 11,ACC,17.86,114.3,96.4,62.9
24,Loyola Chicago 10,MVC,17.69,110.9,93.2,64.6
25,Alabama 6,SEC,17.36,116.1,98.7,71.7
26,Boise St. 8,MWC,16.41,108.4,92.0,64.6
27,Murray St. 7,OVC,16.39,111.5,95.1,65.8
28,Memphis 9,Amer,16.22,110.4,94.1,70.3
29,North Carolina 8,ACC,16.05,113.1,97.0,70.1
30,Oklahoma 1,B12,15.96,110.4,94.5,64.8
31,Colorado St. 6,MWC,15.86,114.2,98.3,65.1
32,Ohio St. 7,B10,15.82,116.6,100.8,65.0
33,Michigan 11,B10,15.65,114.2,98.6,66.3
34,Wisconsin 3,B10,15.58,110.4,94.8,66.5
35,Seton Hall 8,BE,14.97,108.5,93.5,67.3
36,Indiana 12,B10,14.94,107.6,92.6,67.0
37,Wake Forest,ACC,14.93,111.6,96.6,70.0
38,TCU 9,B12,14.91,108.3,93.4,65.8
39,Oklahoma St.,B12,14.90,103.5,88.6,67.6
40,Michigan St. 7,B10,14.87,111.3,96.4,67.5
41,Davidson 10,A10,14.80,116.8,102.0,64.6
42,USC 7,P12,14.45,110.5,96.0,66.0
43,Texas A&M 1,SEC,14.36,109.1,94.7,66.6
44,Utah St.,MWC,14.16,110.6,96.4,66.5
45,Mississippi St.,SEC,14.04,110.1,96.0,65.5
46,UAB 12,CUSA,14.03,112.5,98.5,68.8
47,Marquette 9,BE,14.00,109.8,95.8,70.7
48,Iowa St. 11,B12,13.95,104.4,90.4,66.1
49,Providence 4,BE,13.88,111.9,98.0,65.2
50,North Texas,CUSA,13.84,105.5,91.7,59.0
51,BYU,WCC,13.82,110.3,96.5,67.8
52,Notre Dame 11,ACC,13.63,112.0,98.4,65.7
53,Creighton 9,BE,13.47,105.6,92.1,66.9
54,SMU 1,Amer,13.36,110.1,96.7,68.0
55,Washington St.,P12,13.30,108.3,95.0,66.1
56,Florida,SEC,13.29,111.4,98.1,64.9
57,Dayton 1,A10,13.28,109.0,95.7,63.0
58,Wyoming 12,MWC,13.10,110.2,97.1,66.0
59,Vermont 13,AE,13.07,110.8,97.7,65.0
60,Xavier,BE,12.89,110.9,98.0,68.2
61,St. John's,BE,12.80,110.2,97.4,73.4
62,Miami FL 10,ACC,12.62,114.8,102.1,67.3
63,Missouri St.,MVC,12.28,113.6,101.3,66.8
64,Saint Louis,A10,12.19,109.9,97.7,67.7
65,Vanderbilt,SEC,12.10,106.8,94.7,67.8
66,Kansas St.,B12,12.00,109.4,97.4,66.5
67,VCU,A10,11.87,100.0,88.1,68.3
68,Santa Clara,WCC,11.76,113.4,101.7,70.7
69,Fresno St.,MWC,11.68,105.1,93.4,60.8
70,Colorado,P12,11.46,106.9,95.4,67.2
71,South Dakota St. 13,Sum,11.44,116.8,105.3,69.4
72,Chattanooga 13,SC,11.27,110.0,98.8,64.6
73,West Virginia,B12,11.07,108.1,97.0,67.9
74,Rutgers 11,B10,10.86,106.4,95.5,64.9
75,Furman,SC,10.85,113.9,103.1,64.7
76,Syracuse,ACC,10.53,115.1,104.6,67.5
77,Towson,CAA,10.50,110.0,99.5,64.4
78,Clemson,ACC,10.39,110.0,99.6,66.2
79,Oregon,P12,10.24,109.8,99.5,67.9
80,Maryland,B10,10.12,109.5,99.4,66.5
81,New Mexico St. 12,WAC,10.10,107.8,97.7,66.2
82,Belmont,OVC,10.01,108.6,98.6,68.8
83,Richmond 12,A10,9.83,109.1,99.3,66.9
84,Virginia,ACC,9.81,107.0,97.2,59.2
85,Drake,MVC,9.79,108.4,98.6,66.1
86,UNLV,MWC,9.53,108.1,98.5,66.2
87,Northwestern,B10,9.45,106.7,97.2,67.6
88,St. Bonaventure,A10,9.43,108.2,98.8,65.6
89,Penn St.,B10,9.35,105.3,96.0,61.9
90,Toledo,MAC,9.33,111.3,101.9,68.7
91,Northern Iowa,MVC,8.48,110.3,101.9,67.1
92,Bradley,MVC,8.44,105.1,96.7,67.1
93,Grand Canyon,WAC,8.37,104.9,96.5,65.3
94,Iona,MAAC,8.19,107.6,99.5,68.9
95,Arizona St.,P12,8.16,101.4,93.2,67.2
96,Wichita St.,Amer,8.03,104.2,96.1,66.8
97,South Carolina,SEC,7.54,101.7,94.2,70.4
98,Louisiana Tech,CUSA,7.53,106.0,98.4,68.4
99,Tulane,Amer,7.53,108.8,101.3,67.8
100,Middle Tennessee,CUSA,7.14,105.6,98.4,67.5
101,Cincinnati,Amer,7.04,104.5,97.4,67.4
102,DePaul,BE,6.73,107.0,100.3,68.7
103,Stanford,P12,6.36,105.5,99.1,65.7
104,Princeton,Ivy,6.09,111.7,105.6,66.7
105,Mississippi,SEC,6.01,105.9,99.9,65.1
106,UCF,Amer,5.94,106.6,100.6,67.3
107,Washington,P12,5.41,104.3,98.9,69.4
108,Nevada,MWC,5.37,107.1,101.7,70.1
109,Florida St.,ACC,5.35,105.0,99.6,67.7
110,Minnesota,B10,5.31,107.3,102.0,65.0
111,Wofford,SC,5.02,106.6,101.5,64.1
112,Stephen F. Austin,WAC,4.94,103.0,98.1,68.9
113,Western Kentucky,CUSA,4.88,106.8,101.9,68.5
114,Morehead St.,OVC,4.72,103.9,99.2,64.7
115,George Mason,A10,4.70,106.0,101.3,64.7
116,Utah Valley,WAC,4.62,103.0,98.4,65.7
117,Temple,Amer,4.30,102.2,97.9,66.2
118,Saint Peter's 15,MAAC,4.28,98.8,94.5,66.0
119,Colgate 14,Pat,4.22,108.3,104.1,67.3
120,Southern Illinois,MVC,4.06,102.9,98.9,62.0
121,Utah,P12,3.95,107.6,103.7,66.1
122,Florida Atlantic,CUSA,3.90,106.3,102.4,67.2
123,Ohio,MAC,3.86,104.5,100.6,67.4
124,Liberty,ASun,3.84,105.2,101.3,65.2
125,Montana St. 14,BSky,3.81,104.5,100.7,67.3
126,Butler,BE,3.72,102.6,98.9,63.8
127,Buffalo,MAC,3.66,107.3,103.6,70.9
128,UC Irvine,BW,3.64,99.8,96.1,65.1
129,Abilene Christian,WAC,3.63,103.0,99.4,69.9
130,UC Santa Barbara,BW,3.55,105.6,102.0,65.5
131,Akron 13,MAC,3.49,106.2,102.7,62.1
132,Boston College,ACC,3.48,104.0,100.5,64.8
133,Hofstra,CAA,3.34,108.7,105.4,68.9
134,Seattle,WAC,3.12,100.2,97.0,70.4
135,Rhode Island,A10,3.04,99.3,96.3,67.2
136,Missouri,SEC,3.04,104.1,101.1,65.5
137,Texas St.,SB,2.99,105.8,102.8,63.7
138,Nebraska,B10,2.94,105.9,103.0,71.0
139,South Alabama,SB,2.70,103.8,101.1,66.5
140,Sam Houston St.,WAC,2.64,101.1,98.5,64.7
141,California,P12,2.63,100.7,98.1,64.0
142,Louisville,ACC,2.57,102.6,100.0,67.0
143,N.C. State,ACC,2.55,109.2,106.6,66.9
144,Longwood 14,BSth,2.48,106.1,103.6,66.0
145,Delaware 15,CAA,2.28,106.8,104.6,66.6
146,Jacksonville St. 15,ASun,2.24,105.3,103.1,65.1
147,Yale 14,Ivy,2.23,101.5,99.2,68.7
148,North Dakota St.,Sum,2.14,103.4,101.2,66.3
149,Cal St. Fullerton 15,BW,2.10,104.7,102.6,66.0
150,Kent St.,MAC,1.91,101.5,99.5,65.8
151,Georgia St. 16,SB,1.84,101.5,99.7,67.1
152,Wagner,NEC,1.67,102.2,100.5,66.4
153,Long Beach St.,BW,1.61,103.8,102.2,70.7
154,Charleston,CAA,1.51,104.6,103.1,73.4
155,New Mexico,MWC,1.44,107.1,105.7,70.9
156,Appalachian St.,SB,1.23,101.7,100.5,64.1
157,Drexel,CAA,0.92,104.5,103.6,66.3
158,Coastal Carolina,SB,0.87,103.2,102.3,66.0
159,Oral Roberts,Sum,0.87,109.8,108.9,70.2
160,Hawaii,BW,0.57,102.0,101.4,65.1
161,VMI,SC,0.47,110.8,110.3,68.4
162,Winthrop,BSth,0.41,105.9,105.5,68.2
163,Saint Joseph's,A10,0.40,100.5,100.1,67.9
164,UTEP,CUSA,0.36,100.8,100.5,66.5
165,Jacksonville,ASun,0.29,100.4,100.1,61.4
166,Monmouth,MAAC,0.27,102.4,102.1,66.1
167,Georgia Tech,ACC,0.22,100.0,99.8,67.9
168,Norfolk St. 16,MEAC,0.15,102.4,102.3,66.9
169,UC Riverside,BW,-0.10,100.8,100.9,65.2
170,Southern Utah,BSky,-0.14,106.2,106.3,68.4
171,Gardner Webb,BSth,-0.22,96.6,96.8,67.4
172,Weber St.,BSky,-0.26,103.7,104.0,69.4
173,Tulsa,Amer,-0.28,103.8,104.1,66.4
174,UNC Greensboro,SC,-0.37,100.4,100.8,62.1
175,Portland,WCC,-0.39,103.1,103.5,68.8
176,Georgetown,BE,-0.54,104.9,105.5,69.9
177,Fordham,A10,-0.64,94.7,95.3,67.5
178,UNC Wilmington,CAA,-0.65,102.8,103.5,65.2
179,Arkansas St.,SB,-0.77,100.2,101.0,68.2
180,Troy,SB,-0.80,99.1,99.9,66.7
181,Louisiana,SB,-0.81,101.8,102.7,69.5
182,Wright St. 16,Horz,-0.87,106.4,107.2,68.4
183,Bryant 16,NEC,-0.95,104.2,105.2,72.2
184,Samford,SC,-1.05,105.2,106.3,69.0
185,East Carolina,Amer,-1.08,102.8,103.9,67.5
186,Illinois St.,MVC,-1.20,105.3,106.5,67.9
187,East Tennessee St.,SC,-1.21,108.0,109.2,65.2
188,Texas Southern 16,SWAC,-1.33,98.1,99.5,67.6
189,Massachusetts,A10,-1.36,112.0,113.3,68.9
190,Navy,Pat,-1.36,95.4,96.7,64.6
191,Oakland,Horz,-1.39,103.1,104.5,67.3
192,Cornell,Ivy,-1.74,103.6,105.4,71.6
193,Old Dominion,CUSA,-1.76,101.1,102.9,64.2
194,Mercer,SC,-1.81,105.8,107.6,64.6
195,Northern Kentucky,Horz,-2.07,101.1,103.2,64.1
196,Loyola Marymount,WCC,-2.24,106.1,108.4,65.8
197,Valparaiso,MVC,-2.27,103.1,105.3,65.0
198,Niagara,MAAC,-2.28,100.1,102.4,64.2
199,Bellarmine,ASun,-2.38,108.2,110.6,61.9
200,Dartmouth,Ivy,-2.46,98.9,101.3,64.6
201,South Dakota,Sum,-2.49,104.8,107.3,65.6
202,Charlotte,CUSA,-2.55,105.0,107.5,65.4
203,Cleveland St.,Horz,-2.59,103.7,106.3,67.6
204,Pittsburgh,ACC,-2.82,99.4,102.2,63.9
205,Brown,Ivy,-2.90,100.5,103.4,67.2
206,UMKC,Sum,-2.99,100.4,103.4,67.3
207,Nicholls St.,Slnd,-3.00,101.5,104.5,69.6
208,Tarleton St.,WAC,-3.07,100.0,103.0,63.0
209,Florida Gulf Coast,ASun,-3.09,104.3,107.4,69.7
210,Boston University,Pat,-3.36,105.8,109.1,65.1
211,Penn,Ivy,-3.41,106.3,109.7,67.5
212,Northern Colorado,BSky,-3.50,107.8,111.3,69.5
213,Marist,MAAC,-3.61,100.7,104.3,66.1
214,Southern,SWAC,-3.70,96.8,100.5,69.8
215,UC Davis,BW,-3.70,98.4,102.1,67.0
216,Fairfield,MAAC,-3.78,100.3,104.1,64.1
