Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Gonzaga 1,WCC,36.62,126.1,89.5,74.8
2,Michigan 1,B10,30.79,119.4,88.6,66.8
3,Illinois 1,B10,30.61,119.0,88.3,70.7
4,Baylor 1,B12,29.50,123.3,93.8,68.4
5,Iowa 2,B10,28.90,123.5,94.6,70.0
6,Houston 2,Amer,28.82,118.9,90.1,64.9
7,Ohio St. 2,B10,25.43,122.3,96.8,67.1
8,Alabama 2,SEC,24.99,111.7,86.7,73.9
9,Loyola Chicago 8,MVC,23.75,110.4,86.7,64.2
10,Wisconsin 9,B10,22.65,112.5,89.9,64.9
11,Virginia 4,ACC,22.65,115.6,93.0,60.1
12,Villanova 5,BE,22.62,118.6,96.0,65.1
13,Purdue 4,B10,22.27,113.6,91.3,66.5
14,USC 6,P12,22.22,112.9,90.7,67.3
15,Florida St. 4,ACC,22.07,116.4,94.4,70.6
16,Connecticut 7,BE,21.90,113.6,91.7,66.0
17,Colorado 5,P12,21.68,114.4,92.7,66.4
18,Arkansas 3,SEC,21.53,111.5,90.0,73.1
19,Creighton 5,BE,21.31,114.9,93.6,69.1
20,San Diego St. 6,MWC,21.30,110.8,89.5,66.1
21,Tennessee 5,SEC,21.06,108.8,87.7,67.3
22,Kansas 3,B12,21.03,109.6,88.6,68.3
23,Texas Tech 6,B12,20.95,112.4,91.4,65.4
24,BYU 6,WCC,20.95,113.1,92.2,68.0
25,St. Bonaventure 9,A10,20.82,111.3,90.5,65.2
26,Texas 3,B12,20.58,113.8,93.3,69.2
27,West Virginia 3,B12,20.32,116.1,95.8,69.6
28,North Carolina 8,ACC,20.09,110.1,90.0,71.8
29,LSU 8,SEC,19.59,119.8,100.2,70.8
30,Oklahoma St. 4,B12,18.77,110.1,91.3,72.0
31,Maryland 10,B10,18.72,110.9,92.2,65.3
32,Georgia Tech 9,ACC,18.55,113.3,94.8,67.8
33,Duke,ACC,18.18,114.8,96.6,68.9
34,Rutgers 10,B10,18.14,108.7,90.5,67.8
35,Penn St.,B10,18.12,112.7,94.5,69.4
36,Oregon 7,P12,17.68,114.5,96.8,67.2
37,Florida 7,SEC,17.55,111.0,93.4,68.6
38,Memphis 1,Amer,16.69,103.5,86.8,72.1
39,Oklahoma 8,B12,16.64,111.4,94.8,67.7
40,Utah St. 11,MWC,16.51,105.7,89.2,68.9
41,Syracuse 11,ACC,16.23,113.8,97.6,69.2
42,Clemson 7,ACC,16.17,106.9,90.7,64.2
43,Arizona,P12,15.94,113.4,97.5,68.0
44,UCLA 11,P12,15.92,113.4,97.5,64.7
45,VCU 10,A10,15.91,105.5,89.6,69.8
46,Indiana,B10,15.81,109.3,93.5,66.2
47,Saint Louis 1,A10,15.54,111.0,95.4,67.8
48,Mississippi 1,SEC,15.35,106.4,91.0,65.1
49,Kentucky,SEC,15.23,108.2,92.9,68.4
50,Virginia Tech 10,ACC,15.22,110.0,94.8,66.2
51,Missouri 9,SEC,15.15,110.2,95.1,68.7
52,Seton Hall,BE,14.82,110.4,95.5,66.8
53,Drake 11,MVC,14.64,113.9,99.3,66.8
54,Louisville,ACC,14.10,107.8,93.7,66.0
55,Georgetown 12,BE,14.06,107.7,93.6,69.6
56,Michigan St. 11,B10,14.01,107.0,93.0,68.6
57,Davidson 2,A10,13.98,114.2,100.2,62.9
58,Minnesota,B10,13.95,108.7,94.7,70.2
59,SMU 3,Amer,13.84,109.5,95.7,69.0
60,Boise St. 2,MWC,13.56,109.1,95.6,69.4
61,Xavier,BE,13.29,110.7,97.4,68.2
62,Toledo 3,MAC,13.19,114.9,101.7,69.1
63,Colorado St. 1,MWC,13.03,107.9,94.9,69.5
64,Auburn,SEC,13.02,111.3,98.3,71.3
65,Richmond 2,A10,12.79,110.7,97.9,68.9
66,Wright St.,Horz,12.77,108.6,95.9,71.4
67,St. John's,BE,12.72,111.2,98.5,73.6
68,Buffalo 4,MAC,12.38,107.3,94.9,73.6
69,UC Santa Barbara 12,BW,12.23,109.2,97.0,66.1
70,Northwestern,B10,12.05,104.7,92.7,68.7
71,North Texas 13,CUSA,11.70,105.4,93.7,63.1
72,Utah,P12,11.68,110.5,98.8,67.9
73,N.C. State 3,ACC,11.66,109.4,97.7,68.2
74,Wichita St. 11,Amer,11.55,110.0,98.4,67.6
75,Saint Mary's 2,WCC,11.43,100.9,89.4,63.1
76,Providence,BE,11.25,107.4,96.2,66.6
77,Mississippi St. 4,SEC,11.19,106.5,95.3,65.7
78,Ohio 13,MAC,11.11,113.0,101.9,69.3
79,Dayton 4,A10,10.83,108.4,97.6,66.2
80,Marquette,BE,10.76,107.6,96.8,67.7
81,Notre Dame,ACC,10.71,113.9,103.2,67.5
82,Louisiana Tech 4,CUSA,10.34,103.4,93.1,69.4
83,Stanford,P12,10.26,104.1,93.8,69.5
84,Colgate 14,Pat,10.22,110.9,100.7,72.4
85,Oregon St. 12,P12,10.17,109.3,99.2,65.4
86,Abilene Christian 14,Slnd,10.13,103.0,92.9,70.0
87,Nevada,MWC,9.45,109.0,99.6,70.1
88,Missouri St.,MVC,9.43,107.5,98.1,69.4
89,Pittsburgh,ACC,9.16,108.1,98.9,68.6
90,Marshall,CUSA,9.14,109.3,100.2,72.9
91,Winthrop 12,BSth,8.94,105.1,96.2,73.6
92,Furman,SC,8.93,109.8,100.8,67.9
93,Georgia,SEC,8.69,107.8,99.1,73.5
94,Western Kentucky 3,CUSA,8.67,105.7,97.0,67.8
95,Nebraska,B10,8.66,102.2,93.6,72.1
96,Vanderbilt,SEC,8.57,108.9,100.3,69.0
97,Liberty 13,ASun,8.37,110.1,101.8,63.1
98,UAB,CUSA,8.37,103.4,95.0,67.3
99,Akron,MAC,8.27,108.8,100.5,68.8
100,UNC Greensboro 13,SC,8.15,104.1,96.0,68.5
101,San Francisco,WCC,8.10,106.4,98.3,68.0
102,Loyola Marymount,WCC,8.08,107.3,99.2,66.3
103,UCF,Amer,7.92,105.9,97.9,67.5
104,Belmont,OVC,7.80,109.5,101.7,71.0
105,Rhode Island,A10,7.79,104.9,97.1,69.2
106,Kent St.,MAC,7.41,106.0,98.6,70.0
107,Washington St.,P12,7.36,100.5,93.1,67.9
108,Grand Canyon 15,WAC,6.98,103.6,96.6,65.5
109,UC Irvine,BW,6.67,100.5,93.8,67.7
110,Eastern Washington 14,BSky,6.65,107.7,101.0,72.3
111,UC Riverside,BW,6.62,102.8,96.1,67.0
112,Pepperdine,WCC,6.52,107.2,100.7,71.4
113,Arizona St.,P12,6.23,106.5,100.2,72.8
114,Massachusetts,A10,6.16,105.7,99.5,72.0
115,Butler,BE,5.92,102.8,96.8,64.9
116,Cincinnati,Amer,5.73,103.3,97.5,71.0
117,South Dakota St.,Sum,5.65,110.6,104.9,71.2
118,Indiana St.,MVC,5.58,102.6,97.0,67.2
119,Duquesne,A10,5.56,101.9,96.4,69.2
120,Yale,Ivy,5.42,107.1,101.7,68.2
121,Bowling Green,MAC,5.18,107.2,102.0,70.4
122,South Carolina,SEC,4.92,103.7,98.7,74.9
123,Pacific,WCC,4.89,103.2,98.3,67.3
124,Wofford,SC,4.64,106.3,101.7,66.2
125,Tulsa,Amer,4.52,102.2,97.7,65.8
126,East Tennessee St.,SC,4.25,103.1,98.8,65.7
127,Weber St.,BSky,3.94,107.0,103.1,72.2
128,Morehead St. 14,OVC,3.90,100.2,96.3,65.6
129,Mercer,SC,3.74,106.2,102.5,68.0
130,Vermont,AE,3.62,105.5,101.9,66.7
131,George Mason,A10,3.56,101.3,97.7,68.4
132,Miami FL,ACC,3.49,102.1,98.6,68.1
133,DePaul,BE,3.39,97.7,94.3,70.9
134,Texas A&M,SEC,2.89,101.7,98.8,64.6
135,UTEP,CUSA,2.77,103.2,100.4,68.1
136,California,P12,2.60,103.3,100.7,65.1
137,Ball St.,MAC,2.48,103.5,101.0,71.0
138,TCU,B12,2.46,104.3,101.8,66.9
139,Temple,Amer,2.46,101.2,98.8,68.9
140,Bradley,MVC,2.04,103.4,101.4,66.2
141,Southern Utah,BSky,2.03,107.9,105.8,70.2
142,Cal St. Bakersfield,BW,1.93,103.8,101.8,63.9
143,Boston College,ACC,1.81,105.0,103.2,71.1
144,North Dakota St.,Sum,1.75,102.9,101.2,64.9
145,Miami OH,MAC,1.62,106.2,104.6,66.1
