Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
1,Connecticut 1,BE,32.21,126.6,94.4,64.5
2,Houston 1,B12,31.72,118.9,87.2,63.3
3,Purdue 1,B10,29.12,125.0,95.9,67.4
4,Auburn 4,SEC,28.90,120.6,91.7,69.8
5,Iowa St. 2,B12,26.72,113.9,87.1,67.3
6,Arizona 2,P12,26.62,121.1,94.5,71.8
7,Tennessee 2,SEC,25.97,117.0,91.1,69.2
8,Duke 4,ACC,24.88,121.8,97.0,66.7
9,North Carolina 1,ACC,24.65,117.8,93.2,70.4
10,Illinois 3,B10,23.99,125.6,101.6,69.9
11,Creighton 3,BE,23.40,120.1,96.7,67.0
12,Marquette 2,BE,22.74,118.3,95.6,69.0
13,Alabama 4,SEC,22.48,125.6,103.1,72.6
14,Baylor 3,B12,22.30,122.5,100.2,65.6
15,Gonzaga 5,WCC,21.56,121.0,99.4,69.1
16,BYU 6,B12,21.01,120.5,99.5,69.1
17,Wisconsin 5,B10,20.60,120.1,99.5,65.2
18,Michigan St. 9,B10,20.03,113.8,93.7,65.2
19,Kentucky 3,SEC,20.02,122.7,102.7,72.7
20,Saint Mary's 5,WCC,19.89,114.9,95.0,61.9
21,San Diego St. 5,MWC,19.70,113.5,93.8,66.0
22,Kansas 4,B12,19.23,113.4,94.2,68.9
23,New Mexico 11,MWC,18.94,115.4,96.5,72.7
24,Texas Tech 6,B12,18.54,117.9,99.4,66.6
25,St. John's,BE,18.50,118.4,99.9,69.2
26,Colorado 10,P12,18.47,117.6,99.1,67.5
27,Texas 7,B12,18.40,118.5,100.1,67.2
28,Nebraska 8,B10,18.19,115.9,97.7,68.6
29,Florida 7,SEC,18.19,119.3,101.1,71.7
30,Mississippi St. 8,SEC,17.98,113.7,95.7,67.1
31,Wake Forest,ACC,17.79,117.6,99.8,68.1
32,Dayton 7,A10,17.30,118.6,101.3,64.2
33,TCU 9,B12,17.29,115.1,97.8,69.7
34,Clemson 6,ACC,16.94,117.4,100.5,66.1
35,Villanova,BE,16.93,111.6,94.7,63.2
36,Nevada 10,MWC,16.82,115.6,98.8,66.6
37,Cincinnati,B12,16.72,112.3,95.5,67.3
38,Colorado St. 10,MWC,16.60,115.4,98.8,65.8
39,Boise St. 10,MWC,16.38,114.0,97.6,66.8
40,Pittsburgh,ACC,16.36,115.9,99.5,65.4
