Rk,Team,Conf,NetRtg,ORtg,DRtg,AdjT
278,Portland,WCC,-9.95,98.8,108.7,65.7
279,Miami OH,MAC,-10.08,95.8,105.9,68.4
280,Alcorn St.,SWAC,-10.36,95.5,105.9,67.6
281,Bryant,NEC,-10.38,101.6,112.0,68.9
282,NJIT,ASun,-10.39,98.7,109.1,67.4
283,Youngstown St.,Horz,-10.50,102.5,113.0,71.5
284,Cal St. Northridge,BW,-10.59,104.0,114.6,72.6
285,Northern Colorado,BSky,-10.60,96.5,107.1,68.3
286,The Citadel,SC,-10.74,105.6,116.3,79.6
287,Manhattan,MAAC,-10.85,96.8,107.7,68.8
288,Austin Peay,OVC,-11.08,106.1,117.2,69.8
289,Delaware,CAA,-11.09,97.3,108.4,64.6
290,South Florida,Amer,-11.17,96.5,107.7,68.5
291,Campbell,BSth,-11.36,99.3,110.6,65.3
292,UMass Lowell,AE,-11.39,104.2,115.6,71.6
293,Northwestern St.,Slnd,-11.45,101.0,112.5,71.1
294,Sacramento St.,BSky,-11.48,100.8,112.3,65.3
295,Quinnipiac,MAAC,-11.70,101.4,113.1,73.0
296,Radford,BSth,-11.70,96.1,107.8,63.8
297,Western Illinois,Sum,-11.75,97.1,108.8,68.6
298,Norfolk St.,MEAC,-11.77,94.2,106.0,68.7
299,Pepperdine,WCC,-11.98,102.1,114.1,68.4
300,Abilene Christian,Slnd,-12.05,96.7,108.8,65.7
301,Sacred Heart,NEC,-12.25,97.5,109.8,70.9
302,Detroit,Horz,-12.33,102.2,114.5,72.5
303,Incarnate Word,Slnd,-12.78,101.5,114.3,71.6
304,UT Rio Grande Valley,WAC,-12.93,100.3,113.2,73.8
305,Dartmouth,Ivy,-12.96,99.2,112.1,67.2
306,Hampton,MEAC,-13.16,93.7,106.8,68.1
307,Cal Poly,BW,-13.18,99.8,113.0,65.2
308,American,Pat,-13.29,94.9,108.2,64.2
309,Charleston Southern,BSth,-13.40,103.2,116.6,68.1
310,Prairie View A&M,SWAC,-13.49,98.0,111.5,67.4
311,Central Arkansas,Slnd,-13.50,104.0,117.5,70.9
312,Binghamton,AE,-13.68,96.2,109.9,65.8
313,Nicholls St.,Slnd,-13.75,100.4,114.1,69.2
314,UC Riverside,BW,-13.87,92.1,106.0,67.7
315,Savannah St.,MEAC,-13.89,100.6,114.5,80.8
316,Marist,MAAC,-13.89,100.6,114.5,66.7
317,McNeese St.,Slnd,-14.07,96.1,110.2,69.8
318,SIU Edwardsville,OVC,-14.14,95.0,109.1,69.0
319,Stetson,ASun,-14.28,100.9,115.2,72.3
320,North Texas,CUSA,-14.51,96.2,110.7,70.0
321,Maryland Eastern Shore,MEAC,-14.54,97.9,112.4,68.4
322,Western Carolina,SC,-14.75,90.1,104.9,66.7
323,Morgan St.,MEAC,-15.33,91.2,106.5,67.5
324,Southern Miss,CUSA,-15.46,92.9,108.4,65.3
325,Southern,SWAC,-15.58,98.0,113.5,68.3
326,Northern Arizona,BSky,-15.63,94.9,110.6,69.0
327,VMI,SC,-16.03,97.7,113.7,68.9
328,Grambling St.,SWAC,-16.08,96.6,112.6,66.9
329,Jackson St.,SWAC,-16.20,92.8,109.0,64.1
330,Lafayette,Pat,-17.24,96.1,113.4,69.1
331,UC Santa Barbara,BW,-18.14,91.3,109.5,63.9
332,Idaho St.,BSky,-18.26,97.7,116.0,68.7
333,Hartford,AE,-18.26,92.5,110.8,68.3
334,Southern Utah,BSky,-18.59,101.2,119.8,71.2
335,South Carolina St.,MEAC,-19.23,99.1,118.3,68.2
336,Chicago St.,WAC,-19.38,91.9,111.3,66.9
337,Maine,AE,-19.48,91.1,110.6,67.8
338,Howard,MEAC,-19.56,90.5,110.0,67.9
